team_code,player,reason
GER,Nico Schlotterbeck,Unknown
PAR,Omar Alderete,Unknown
PAR,Diego Gómez,Unknown
FRA,William Saliba,Unknown
FRA,Marcus Thuram,Unknown
SWE,Isak Hien,Unknown
RSA,Themba Zwane,Unknown
CAN,Ismaël Koné,Unknown
ESP,Nico Williams,Unknown
ESP,Yéremi Pino,Unknown
AUT,David Alaba,Unknown
AUT,Marko Arnautovic,Unknown
USA,Cristian Roldan,Unknown
BEL,Zeno Debast,Unknown
SEN,Édouard Mendy,Unknown
BRA,Raphinha,Unknown
JPN,Takefusa Kubo,Unknown
CIV,Wilfried Singo,Unknown
NOR,Julian Ryerson,Unknown
ENG,Jarell Quansah,Unknown
ENG,Reece James,Unknown
ARG,Cristian Romero,Unknown
CPV,Telmo Arcanjo,Unknown
AUS,Mathew Leckie,Unknown
AUS,Jacob Italiano,Unknown
EGY,Mohanad Lasheen,Unknown
EGY,Ahmed Fatouh,Unknown
EGY,Mohamed Salah,Unknown
EGY,Mohamed Abdelmonem,Unknown
EGY,Hossam Abdelmaguid,Unknown
EGY,Hamdy Fathy,Unknown
ALG,Mohamed Amoura,Unknown
GHA,Antoine Semenyo,Unknown
